celda;;;;;;;;Tipo  de  falla 
;;;;;;;;
;2-feb;1-feb;31-ene;30-ene;29-ene;28-ene;27-ene;
GGW005;;;;;;;;Caida de energia y/o corte de Tx 
GGC007;;;;;;;;Caida de energia y/o corte de Tx 
GGW033;;;;;;;;Caida de energia y/o corte de Tx 
GGC008;;;;;;;;Caida de energia y/o corte de Tx 
GGW038;;;;;;;;Caida de energia y/o corte de Tx 
VGC002;;;;;;;;Caida de energia y/o corte de Tx 
GGW034;;;;;;;;Caida de energia y/o corte de Tx 
VGW003;;;;;;;;Caida de energia y/o corte de Tx 
GGW040;;;;;;;;Caida de energia y/o corte de Tx 
GGC004;;;;;;;;Caida de energia y/o corte de Tx 
VGC002;;;;;;;;Caida de energia y/o corte de Tx 
VGC310;;;;;;;;Caida de energia y/o corte de Tx 
VGW042;;;;;;;;Caida de energia y/o corte de Tx 
